Token,Gender,Score
she,Feminine,2
her,Feminine,2
She,Feminine,2
Her,Feminine,2
Hers,Feminine,2
hers,Feminine,2
Herself,Feminine,2
Herself,Feminine,2
compassionate,Feminine,2
emotional,Feminine ,2
interpersonal,Feminine ,2
interdependent,Feminine ,2
determined ,Feminine ,2
support,Feminine ,2
responsibilities ,Feminine ,2
collab,Feminine ,2
commit,Feminine ,2
communal,Feminine ,2
compassion,Feminine ,2
connect,Feminine ,2
considerate,Feminine ,2
cooperat,Feminine ,2
depend,Feminine ,2
empathetic,Feminine ,2
feel,Feminine ,2
gentle,Feminine ,2
honest,Feminine ,2
kind,Feminine ,2
kinship,Feminine ,2
loyal,Feminine ,2
modesty,Feminine ,2
pleasant,Feminine ,2
polite,Feminine ,2
responsible,Feminine ,2
sensitive,Feminine ,2
sympath,Feminine ,2
tender,Feminine ,2
together,Feminine ,2
trust,Feminine ,2
understanding,Feminine ,2
warm,Feminine ,2
inclusive,Feminine ,2
yield,Feminine ,2
sharing,Feminine ,2
supportive,Feminine ,2
collaborative ,Feminine ,2
Committed,Feminine ,2
Connect ,Feminine ,2
Dominate,Masculine,1
Competitive,Masculine,1
Confident,Masculine,1
Determined,Masculine,1
Decisive,Masculine,1
Outspoken,Masculine,1
Strong,Masculine,1
Lead,Masculine,1
Dominant,Masculine,1
Dominating,Masculine,1
Expert,Masculine,1
High Performing,Masculine,1
Assertive,Masculine,1
Champion,Masculine,1
Fearless,Masculine,1
Opinionated,Masculine,1
he,Masculine ,1
his,Masculine ,1
him,Masculine ,1
He,Masculine ,1
His,Masculine ,1
Him,Masculine ,1
Himself,Masculine ,1
himself,Masculine ,1
active,Masculine ,1
adventurous,Masculine ,1
aggressive,Masculine ,1
ambitious,Masculine ,1
ambition,Masculine ,1
decide,Masculine ,1
objective,Masculine ,1
opinion,Masculine ,1
superior,Masculine ,1
self-confident,Masculine ,1
self-sufficient,Masculine ,1
self-reliant,Masculine ,1
strong ,Masculine ,1
driven,Masculine ,1
proven ,Masculine ,1
analytical ,Masculine ,1
leading,Masculine ,1
intellectual,Masculine ,1
challenged ,Masculine ,1
Objective ,Masculine ,1
it,Neuter,0
its,Neuter,0
they,Neuter,0
their,Neuter,0
you,Neuter,0
your,Neuter,0
our,Neuter,0
them,Neuter,0
It,Neuter,0
Its,Neuter,0
They,Neuter,0
Their,Neuter,0
You,Neuter,0
Your,Neuter,0
Our,Neuter,0
Them,Neuter,0
Team,Neuter,0
team,Neuter,0
Manager,Neuter,0
manager,Neuter,0
